x,y
114,35
622,565
609,280
623,204
861,134
640,326
9,155
233,130
666,436
514,39
694,713
545,101
283,950
923,122
292,220
837,913
286,946
267,279
187,123
232,797
317,744
303,916
159,995
40,942
219,486
811,283
526,252
915,503
831,497
46,318
456,962
265,634
305,127
507,423
181,914
760,468
201,908
259,598
992,632
807,869
553,503
646,984
312,324
622,481
330,357
502,627
677,742
485,566
244,981
765,577
74,439
310,229
717,82
505,850
153,235
504,988
494,602
751,999
175,376
848,555
865,429
42,576
317,433
14,225
239,85
706,637
308,431
509,73
52,802
565,325
121,757
893,584
15,709
783,427
90,344
519,759
384,424
70,561
321,116
668,303
926,479
472,345
143,601
544,76
196,956
899,22
389,842
311,632
160,310
896,743
166,639
900,993
134,128
132,883
105,810
512,822
300,835
27,733
310,983
742,639
